order_id,order_date,region,city,category,product,units,unit_price,discount_pct,cost_per_unit,returned,channel
NW-10001,2026-01-05,South,Chennai,Electronics,Laptop Stand,1,2199,0,1100,no,store
NW-10002,2026-01-05,East,Kolkata,Electronics,USB-C Hub,5,1499,0,820,no,online
NW-10003,2026-01-06,West,Mumbai,Grocery,Filter Coffee,1,449,0,210,no,store
NW-10004,2026-01-07,East,Patna,Electronics,Laptop Stand,3,2199,0,1100,no,store
NW-10005,2026-01-08,East,Bhubaneswar,Grocery,Filter Coffee,1,449,0,210,no,online
NW-10006,2026-01-09,West,Pune,Apparel,Running Socks,1,299,0,90,no,store
NW-10007,2026-01-10,North,Delhi,Home,Desk Lamp,1,1299,0,540,yes,store
NW-10008,2026-01-11,South,Chennai,Home,Cotton Throw,6,1599,0,720,no,online
NW-10009,2026-01-12,North,Delhi,Grocery,Basmati 5kg,8,649,0,380,no,store
NW-10010,2026-01-13,West,Ahmedabad,Home,Desk Lamp,5,1299,0,540,no,store
NW-10011,2026-01-14,East,Kolkata,Grocery,Basmati 5kg,2,649,0,380,no,online
NW-10012,2026-01-15,East,Kolkata,Home,Desk Lamp,1,1299,0,540,no,store
NW-10013,2026-01-16,North,Jaipur,Grocery,Filter Coffee,7,449,10,210,no,store
NW-10014,2026-01-17,North,Jaipur,Grocery,Basmati 5kg,3,649,15,380,no,online
NW-10015,2026-01-18,East,Bhubaneswar,Grocery,Filter Coffee,2,449,0,210,yes,store
NW-10016,2026-01-19,East,Kolkata,Electronics,USB-C Hub,4,1499,0,820,no,store
NW-10017,2026-01-20,South,Chennai,Apparel,Denim Jacket,7,2499,5,1050,no,online
NW-10018,2026-01-21,West,Ahmedabad,Elec.,Desk Lamp,3,1299,0,540,no,store
NW-10019,2026-01-22,West,Mumbai,Home,Desk Lamp,8,1299,0,540,no,store
NW-10020,2026-01-23,East,Kolkata,Grocery,Olive Oil 1L,8,799,0,430,no,online
NW-10021,2026-01-24,South,Chennai,Apparel,Cotton Tee,5,699,0,240,no,store
NW-10022,2026-01-24,North,Lucknow,Electronics,USB-C Hub,4,1499,5,820,no,store
NW-10023,2026-01-25,West,Mumbai,Grocery,Olive Oil 1L,1,799,0,430,no,online
